Background_Level1 PNG/Background_Level1.png
RockBlock 0 0
RockBlock 64 0
Live 128 64
RockBlock 128 0
RockBlock 192 0
RockBlock 256 0
RockBlock 320 0
RockBlock 384 0
RockBlock 448 0
RockBlock 512 0
Live 512 64
WaterBottle 576 64
WaterBottle 960 64
RockBlock 576 0
RockBlock 640 0
RockBlock 704 0
RockBlock 768 0
RockBlock 832 0
RockBlock 896 0
RockBlock 960 0
RockBlock 1024 0
RockBlock 1088 0
RockBlock 1152 0
RockBlock 1216 0
RockBlock 1280 0
RockBlock 1344 0
RockBlock 1408 0
RockBlock 1472 0
RockBlock 1536 0
RockBlock 1600 0
RockBlock 1664 0
RockBlock 1728 0
RockBlock 1792 0
RockBlock 1856 0
RockBlock 1920 0
RockBlock 1984 0
RockBlock 2048 0
RockBlock 2112 0
RockBlock 2176 0
RockBlock 2240 0
RockBlock 2304 0
RockBlock 2368 0
RockBlock 2432 0
RockBlock 2496 0
RockBlock 2560 0
RockBlock 2624 0
RockBlock 2688 0
RockBlock 2752 0
RockBlock 2816 0
RockBlock 2880 0
RockBlock 2944 0
RockBlock 3008 0
RockBlock 3072 0
RockBlock 3136 0
RockBlock 3200 0
RockBlock 3264 0
RockBlock 3328 0
RockBlock 3392 0
RockBlock 3456 0
RockBlock 3520 0
RockBlock 3584 0
RockBlock 3648 0
RockBlock 3712 0
RockBlock 3776 0
RockBlock 3840 0
RockBlock 3904 0
RockBlock 3968 0
RockBlock 4032 0

RockBlock 64 128
RockBlock 128 192
RockBlock 512 128
RockBlock 704 192

Checkpoint 2112 64
